retinal_trait	retinal_domain	systemic_disease	rg	se	z	p	q_global	q_within_retinal_domain	n_snps	valid_alleles	retinal_h2	retinal_h2_se	retinal_h2_z	disease_h2	disease_h2_se	disease_h2_z	ldsc_intercept	gencov_intercept_se	retinal_mean_chi2	retinal_ratio	retinal_ldsc_intercept	retinal_ldsc_intercept_se	disease_mean_chi2	disease_ratio	disease_ldsc_intercept	disease_ldsc_intercept_se	qc_flag	old_q_global	new_q_98	old_status	leave_CAD_out_status	old_q_112
ret_ven_tort	microvasculature	sys_ibd_delange2017	0.0519	0.0382	1.3594	0.174	0.6848390243902439	0.4871999999999999	1143642	1121754	0.1	0.0201	4.975124378109453	0.2137	0.0228	9.37280701754386	-0.0012	0.0046	1.1803	0.1038	1.0187	0.0074	1.4985	0.3731	1.186	0.0105	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_crae	microvasculature	sys_stroke_megastroke2018	0.0053	0.087	0.0604	0.9518	0.9872144144144144	0.9708363636363636	1143623	1140160	0.0641	0.0074	8.662162162162163	0.0083	0.0011	7.545454545454545	0.0109	0.0045	1.0899	NA	0.9856	0.0065	1.1404	0.3338	1.0469	0.0068	RATIO_NEGATIVE	0.9872144144144144	0.9884	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9872144144144144
ret_crae	microvasculature	sys_t2d_scott2017	0.0253	0.052	0.4862	0.6268	0.8357333333333333	0.8357333333333333	1143623	1142727	0.0641	0.0074	8.662162162162163	0.0551	0.0046	11.97826086956522	0.0065	0.0042	1.0899	NA	0.9856	0.0065	1.2309	0.133	1.0307	0.0087	RATIO_NEGATIVE	0.8357333333333333	0.8651605633802817	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.8357333333333333
ret_crae	microvasculature	sys_ckd_wuttke2019	0.0012	0.0835	0.0146	0.9884	0.9883999999999998	0.9883999999999998	1143623	1139722	0.0641	0.0074	8.662162162162163	0.0096	0.0015	6.3999999999999995	0.0056	0.0047	1.0899	NA	0.9856	0.0065	1.1963	0.4639	1.0911	0.0077	RATIO_NEGATIVE	0.9883999999999998	0.9884	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9883999999999998
ret_crae	microvasculature	sys_ad_kunkle2019	-0.0663	0.1023	-0.6479	0.517	0.7876842105263158	0.7639578947368421	1143623	1142815	0.0641	0.0074	8.662162162162163	0.0553	0.0099	5.585858585858586	-0.0007	0.0039	1.0899	NA	0.9856	0.0065	1.1182	0.3241	1.0383	0.0076	RATIO_NEGATIVE	0.7876842105263158	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7876842105263158
ret_crae	microvasculature	sys_pd_nalls2019_clinical	-0.0817	0.0649	-1.2594	0.2079	0.6848390243902439	0.5399692307692308	1143623	1143462	0.0641	0.0074	8.662162162162163	0.164	0.018	9.111111111111112	0.0044	0.0044	1.0899	NA	0.9856	0.0065	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_crae	microvasculature	sys_sle_bentham2015	-0.1678	0.0762	-2.2026	0.0276	0.2810181818181818	0.1931999999999999	1143623	1018509	0.0641	0.0074	8.662162162162163	0.3707	0.0653	5.67687595712098	0.008	0.0051	1.0899	NA	0.9856	0.0065	1.3539	0.6219	1.2201	0.0089	RATIO_NEGATIVE	0.2810181818181818	0.27048	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.2810181818181818
ret_crae	microvasculature	sys_ibd_delange2017	0.1554	0.058	2.6815	0.0073	0.16352	0.1022	1143623	1121743	0.0641	0.0074	8.662162162162163	0.2137	0.0228	9.37280701754386	-0.007	0.0045	1.0899	NA	0.9856	0.0065	1.4985	0.3731	1.186	0.0105	RATIO_NEGATIVE	0.16352	0.17885	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.16352
ret_crve	microvasculature	sys_stroke_megastroke2018	-0.2034	0.0747	-2.722	0.0065	0.16352	0.1022	1143641	1140178	0.0812	0.0163	4.98159509202454	0.0083	0.0011	7.545454545454545	0.0071	0.0049	1.1459	0.0539	1.0079	0.0086	1.1404	0.3338	1.0469	0.0068	PASS	0.16352	0.17885	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.16352
ret_crve	microvasculature	sys_t2d_scott2017	-0.1123	0.0648	-1.7323	0.0832	0.5016421052631579	0.3404	1143641	1142745	0.0812	0.0163	4.98159509202454	0.0551	0.0046	11.97826086956522	0.0039	0.0053	1.1459	0.0539	1.0079	0.0086	1.2309	0.133	1.0307	0.0087	PASS	0.5016421052631579	0.46332222222222225	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.5016421052631579
ret_crve	microvasculature	sys_ckd_wuttke2019	0.006	0.1034	0.0584	0.9535	0.9872144144144144	0.9708363636363636	1143641	1139735	0.0812	0.0163	4.98159509202454	0.0096	0.0015	6.3999999999999995	0.0007	0.0052	1.1459	0.0539	1.0079	0.0086	1.1963	0.4639	1.0911	0.0077	PASS	0.9872144144144144	0.9884	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9872144144144144
ret_crve	microvasculature	sys_ad_kunkle2019	-0.0192	0.1003	-0.1918	0.8479	0.9402455445544554	0.926153846153846	1143641	1142834	0.0812	0.0163	4.98159509202454	0.0553	0.0099	5.585858585858586	0.0029	0.0048	1.1459	0.0539	1.0079	0.0086	1.1182	0.3241	1.0383	0.0076	PASS	0.9402455445544554	0.9551057471264368	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9402455445544554
ret_crve	microvasculature	sys_pd_nalls2019_clinical	0.0512	0.0746	0.686	0.4927	0.7876842105263158	0.7639578947368421	1143641	1143470	0.0812	0.0163	4.98159509202454	0.164	0.018	9.111111111111112	-0.0033	0.0049	1.1459	0.0539	1.0079	0.0086	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.7876842105263158	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7876842105263158
ret_crve	microvasculature	sys_sle_bentham2015	-0.1902	0.1606	-1.1843	0.2363	0.6848390243902439	0.5399692307692308	1143641	1018525	0.0812	0.0163	4.98159509202454	0.3707	0.0653	5.67687595712098	0.0116	0.0084	1.1459	0.0539	1.0079	0.0086	1.3539	0.6219	1.2201	0.0089	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_crve	microvasculature	sys_ibd_delange2017	0.0821	0.0505	1.6273	0.1037	0.5646666666666667	0.3871466666666666	1143641	1121747	0.0812	0.0163	4.98159509202454	0.2137	0.0228	9.37280701754386	-0.0017	0.0056	1.1459	0.0539	1.0079	0.0086	1.4985	0.3731	1.186	0.0105	PASS	0.5646666666666667	0.5155652173913043	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.5646666666666667
ret_avr	microvasculature	sys_stroke_megastroke2018	0.2378	0.1019	2.3342	0.0196	0.243911111111111	0.176	1143627	1140164	0.0495	0.0103	4.805825242718447	0.0083	0.0011	7.545454545454545	0.0034	0.0044	1.062	NA	0.9779	0.0074	1.1404	0.3338	1.0469	0.0068	RATIO_NEGATIVE	0.243911111111111	0.23955555555555552	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.243911111111111
ret_avr	microvasculature	sys_t2d_scott2017	0.1589	0.0659	2.4108	0.0159	0.2226	0.176	1143627	1142731	0.0495	0.0103	4.805825242718447	0.0551	0.0046	11.97826086956522	0.0019	0.0046	1.062	NA	0.9779	0.0074	1.2309	0.133	1.0307	0.0087	RATIO_NEGATIVE	0.2226	0.2226	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.2226
ret_avr	microvasculature	sys_ckd_wuttke2019	-0.0589	0.1073	-0.5492	0.5829	0.805985185185185	0.7961560975609755	1143627	1139726	0.0495	0.0103	4.805825242718447	0.0096	0.0015	6.3999999999999995	0.0069	0.0048	1.062	NA	0.9779	0.0074	1.1963	0.4639	1.0911	0.0077	RATIO_NEGATIVE	0.805985185185185	0.827886956521739	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.805985185185185
ret_avr	microvasculature	sys_ad_kunkle2019	-0.0371	0.1035	-0.3589	0.7197	0.8956266666666668	0.8737166666666667	1143627	1142819	0.0495	0.0103	4.805825242718447	0.0553	0.0099	5.585858585858586	-0.0033	0.0039	1.062	NA	0.9779	0.0074	1.1182	0.3241	1.0383	0.0076	RATIO_NEGATIVE	0.8956266666666668	0.9159818181818182	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.8956266666666668
ret_avr	microvasculature	sys_pd_nalls2019_clinical	-0.1755	0.0766	-2.2911	0.022	0.2464	0.176	1143627	1143460	0.0495	0.0103	4.805825242718447	0.164	0.018	9.111111111111112	0.0086	0.0043	1.062	NA	0.9779	0.0074	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.2464	0.23955555555555552	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.2464
ret_avr	microvasculature	sys_sle_bentham2015	0.0674	0.1627	0.4139	0.679	0.8730966292134832	0.8633955555555556	1143627	1018514	0.0495	0.0103	4.805825242718447	0.3707	0.0653	5.67687595712098	-0.0043	0.0068	1.062	NA	0.9779	0.0074	1.3539	0.6219	1.2201	0.0089	RATIO_NEGATIVE	0.8730966292134832	0.8946368421052632	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.8730966292134832
ret_avr	microvasculature	sys_ibd_delange2017	0.0758	0.066	1.1489	0.2506	0.6848390243902439	0.5399692307692308	1143627	1121758	0.0495	0.0103	4.805825242718447	0.2137	0.0228	9.37280701754386	-0.0025	0.0055	1.062	NA	0.9779	0.0074	1.4985	0.3731	1.186	0.0105	RATIO_NEGATIVE	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_art_density	microvasculature	sys_stroke_megastroke2018	0.1316	0.074	1.7798	0.0751	0.4947764705882354	0.3404	1143630	1140167	0.0766	0.0079	9.696202531645568	0.0083	0.0011	7.545454545454545	0.0031	0.0043	1.1387	0.0794	1.011	0.0068	1.1404	0.3338	1.0469	0.0068	PASS	0.4947764705882354	0.4599875	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.4947764705882354
ret_art_density	microvasculature	sys_t2d_scott2017	0.1636	0.0569	2.8771	0.004	0.16352	0.1022	1143630	1142734	0.0766	0.0079	9.696202531645568	0.0551	0.0046	11.97826086956522	-0.0038	0.0047	1.1387	0.0794	1.011	0.0068	1.2309	0.133	1.0307	0.0087	PASS	0.16352	0.17885	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.16352
ret_art_density	microvasculature	sys_ckd_wuttke2019	-0.0584	0.073	-0.7998	0.4238	0.7794098360655737	0.742875	1143630	1139731	0.0766	0.0079	9.696202531645568	0.0096	0.0015	6.3999999999999995	0.0088	0.0045	1.1387	0.0794	1.011	0.0068	1.1963	0.4639	1.0911	0.0077	PASS	0.7794098360655737	0.7987000000000001	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7794098360655737
ret_art_density	microvasculature	sys_ad_kunkle2019	-0.0196	0.091	-0.2158	0.8291	0.9402455445544554	0.926153846153846	1143630	1142822	0.0766	0.0079	9.696202531645568	0.0553	0.0099	5.585858585858586	-0.0024	0.0045	1.1387	0.0794	1.011	0.0068	1.1182	0.3241	1.0383	0.0076	PASS	0.9402455445544554	0.9551057471264368	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9402455445544554
ret_art_density	microvasculature	sys_pd_nalls2019_clinical	-0.009	0.058	-0.1548	0.877	0.953631067961165	0.9266415094339624	1143630	1143453	0.0766	0.0079	9.696202531645568	0.164	0.018	9.111111111111112	0.0031	0.0042	1.1387	0.0794	1.011	0.0068	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.953631067961165	0.965685393258427	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.953631067961165
ret_art_density	microvasculature	sys_sle_bentham2015	-0.0361	0.0655	-0.5518	0.5811	0.805985185185185	0.7961560975609755	1143630	1018521	0.0766	0.0079	9.696202531645568	0.3707	0.0653	5.67687595712098	0.008	0.0052	1.1387	0.0794	1.011	0.0068	1.3539	0.6219	1.2201	0.0089	PASS	0.805985185185185	0.827886956521739	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.805985185185185
ret_art_density	microvasculature	sys_ibd_delange2017	0.0428	0.0437	0.9778	0.3282	0.7394196078431372	0.6564	1143630	1121750	0.0766	0.0079	9.696202531645568	0.2137	0.0228	9.37280701754386	-0.0004	0.0048	1.1387	0.0794	1.011	0.0068	1.4985	0.3731	1.186	0.0105	PASS	0.7394196078431372	0.7332577777777778	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7394196078431372
ret_ven_density	microvasculature	sys_stroke_megastroke2018	0.0563	0.0828	0.6804	0.4963	0.7876842105263158	0.7639578947368421	1143627	1140164	0.0662	0.0084	7.8809523809523805	0.0083	0.0011	7.545454545454545	-0.0024	0.0046	1.144	0.2033	1.0293	0.0069	1.1404	0.3338	1.0469	0.0068	PASS	0.7876842105263158	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7876842105263158
ret_ven_density	microvasculature	sys_t2d_scott2017	0.0945	0.0609	1.5507	0.121	0.5646666666666667	0.3969777777777777	1143627	1142731	0.0662	0.0084	7.8809523809523805	0.0551	0.0046	11.97826086956522	-0.0038	0.005	1.144	0.2033	1.0293	0.0069	1.2309	0.133	1.0307	0.0087	PASS	0.5646666666666667	0.5155652173913043	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.5646666666666667
ret_ven_density	microvasculature	sys_ckd_wuttke2019	-0.1585	0.0771	-2.0555	0.0398	0.3428923076923077	0.22288	1143627	1139724	0.0662	0.0084	7.8809523809523805	0.0096	0.0015	6.3999999999999995	0.0065	0.0045	1.144	0.2033	1.0293	0.0069	1.1963	0.4639	1.0911	0.0077	PASS	0.3428923076923077	0.32503333333333334	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.3428923076923077
ret_ven_density	microvasculature	sys_ad_kunkle2019	0.0324	0.1013	0.32	0.7489	0.9020215053763442	0.8737166666666667	1143627	1142820	0.0662	0.0084	7.8809523809523805	0.0553	0.0099	5.585858585858586	-0.0032	0.0045	1.144	0.2033	1.0293	0.0069	1.1182	0.3241	1.0383	0.0076	PASS	0.9020215053763442	0.917525	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9020215053763442
ret_ven_density	microvasculature	sys_pd_nalls2019_clinical	-0.0257	0.0654	-0.3937	0.6938	0.8730966292134832	0.8633955555555556	1143627	1143450	0.0662	0.0084	7.8809523809523805	0.164	0.018	9.111111111111112	0.0012	0.0043	1.144	0.2033	1.0293	0.0069	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.8730966292134832	0.8946368421052632	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.8730966292134832
ret_ven_density	microvasculature	sys_sle_bentham2015	-0.0611	0.0789	-0.7751	0.4383	0.7807757575757576	0.7437818181818182	1143627	1018520	0.0662	0.0084	7.8809523809523805	0.3707	0.0653	5.67687595712098	0.0075	0.0048	1.144	0.2033	1.0293	0.0069	1.3539	0.6219	1.2201	0.0089	PASS	0.7807757575757576	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7807757575757576
ret_ven_density	microvasculature	sys_ibd_delange2017	0.044	0.0526	0.8353	0.4035	0.7794098360655737	0.742875	1143627	1121751	0.0662	0.0084	7.8809523809523805	0.2137	0.0228	9.37280701754386	0.0022	0.0054	1.144	0.2033	1.0293	0.0069	1.4985	0.3731	1.186	0.0105	PASS	0.7794098360655737	0.7987000000000001	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7794098360655737
